Topic,Host,Speakers,Slides,year
October 9: R at the Heart of VBZ Mobility, Verkehrsbetriebe Zürich (VBZ), Samuel Wittwer,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20251009_Samuel_Wittwer.pdf,2025
October 9: The R Roadmap for Mobility Behavior Analysis: From Surveys to Travel Choices and Accessibility, ETH Zurich, Anna Reiffer,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20251009_Anna_Reiffer.pdf,2025
January 23: Ecological infrastructure planning, Swiss Federal Institute for Forest Snow and Landscape Research WSL,Dominique Weber,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20252301_DWeber.pdf,2025
January 23: FORTE app: online tools for forests today and tomorrow, Swiss Federal Institute for Forest Snow and Landscape Research WSL, Micah Wilhelm,,2025
September 19: R for Real Estate and Machine Learning Model Summaries,Wüest Partner AG,Simon Stehle,,2024
"September 19: Concise, Comprehensive, and Customizable Summaries for Machine Learning Models",University of Zurich,Susanne Dandl,,2024
June 04: Antibiotic packages and guideline recommendations. A real-world analysis based on claims data.,Helsana Insurance Group,Sereina M. Graber,https://serigra.github.io/RUG_Meetup,2024
June 04: Changes in the use of hydrochlorothiazide and other antihypertensive drugs in Switzerland in association with the Swissmedic safety alert regarding skin cancer: An interrupted-time series analysis using Swiss claims data.,University of Basel,Tamino Zappalà,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20240604_DHPC_Zappala.pdf,2024
April 08: Linking Register Data: Navigating Opportunities and Limitations,"Statistical Office, Canton of Zurich",Irene Böckmann,,2024
"April 08: Implementation of a national project and challenges of coordinating a multi-center, multi language project","Clinical Trial Unit, Kantonsspital St. Gallen",Erin West,,2024
November 2: Unveiling Market Insights with Real Estate,Datahouse,Andreas Thürlimann,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20231102_Thuerlimann.pdf,2023
November 2: Interpretable machine learning: applications in public health,University of Zurich,Andrea Farnham,https://raw.githubusercontent.com/Zurich-R-User-Group/zh-rug-presentations/main/pdfs/20231102_Farnham.pdf,2023
September 11: duckplyr: Tight Integration of duckdb with R and the tidyverse,cynkra,Kirill Müller,,2023
September 11: The best bottle is just one (or two) GAMMs away,Zürich Data Scientists,"Luisa Barbanti, Matteo Tanadini",,2023
July 05: Detecting and analysing space-time correlations with ARCOS,University of Berne,Maciej Dobrzyński,,2022
July 05: Exploring “The Grammar of Graphics”,Helbling Technik,Lynda Metref,,2022
April 27: Comprehensive audit of a Shiny app through CI/CD: toward production-readiness,RinteRface,David Granjon,,2022
April 27: Anomaly Detection on Vote Sundays with R & Shiny,Statistical Office of the Canton of Zurich,Thomas Lo Russo,,2022
October 27: Developing the mlr/mlr3 machine learning framework in R,mlr-org,Patrick Schratz,,2021
October 27: varycoef: An R Package for Gaussian Process-based Spatially Varying Coefficient Models,Swiss Re,Jakob Dambon,,2021
